country,sex,age,suicide_prob
malta,male,5-14,4.806767929244376e-05
malta,male,55-74,0.0026440004186698
malta,male,75+,0.0041200796018451
mauritius,female,15-24,0.0034968959873102
mauritius,female,25-34,0.0027330052576689
mauritius,female,35-54,0.0016064878686278
mauritius,female,5-14,0.0004519771572703
mauritius,female,55-74,0.0014643314192724
mauritius,female,75+,0.0014666179222283
mauritius,male,15-24,0.0051874537747522
mauritius,male,25-34,0.0084063390643214
mauritius,male,35-54,0.0079001653160764
mauritius,male,5-14,0.0001584620712846
mauritius,male,55-74,0.005696853125947
mauritius,male,75+,0.0060777417726323
mexico,female,15-24,0.000732373756897
mexico,female,25-34,0.000470587168568
mexico,female,35-54,0.0004099036509096
mexico,female,5-14,0.0001301134263795
mexico,female,55-74,0.0003159987017492
mexico,female,75+,0.0002529528006836
mexico,male,15-24,0.0024814462759145
mexico,male,25-34,0.0027618604257848
mexico,male,35-54,0.0024832376152343
mexico,male,5-14,0.0002136430992803
mexico,male,55-74,0.0026851255605485
mexico,male,75+,0.0045747621231582
mongolia,female,15-24,7.293207187860861e-05
mongolia,female,25-34,5.132820279430736e-05
mongolia,female,35-54,3.69432649965027e-05
mongolia,female,55-74,6.74782045399336e-06
mongolia,female,75+,0.0001140467591712
mongolia,male,15-24,0.0003361663588437
mongolia,male,25-34,0.0004369366269868
mongolia,male,35-54,0.0003380977608344
mongolia,male,55-74,0.0002554458410774
mongolia,male,75+,0.0001954524724737
montenegro,female,15-24,8.47013655597184e-05
montenegro,female,25-34,0.0002816914597496
montenegro,female,35-54,0.0005106935856635
montenegro,female,5-14,0.0
montenegro,female,55-74,0.0008861439425789
montenegro,female,75+,0.0016121223599803
montenegro,male,15-24,0.0003431008210507
montenegro,male,25-34,0.0008403560978381
montenegro,male,35-54,0.001315163797579
montenegro,male,5-14,0.0001158786799149
